,GDXJ
symbol,GDXJ
price,38.95
beta,0
volAvg,6677893
mktCap,189175320
lastDiv,0.183
range,25.8-51.92
changes,0.17
companyName,VanEck Junior Gold Miners ETF
currency,USD
cik,
isin,US92189F7915
cusip,92189F791
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the index. The index includes companies that generate at least 50% of their revenues from gold and/or silver mining/royalties/streaming or have mining projects with the potential to generate at least 50% of their revenues from gold and/or silver when developed. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDXJ.png
ipoDate,2009-11-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
