,IGV
symbol,IGV
price,288.98
beta,0
volAvg,1292251
mktCap,3612250000
lastDiv,0.023
range,235.41-367.22
changes,7.01
companyName,iShares Expanded Tech-Software Sector ETF
currency,USD
cik,
isin,US4642875151
cusip,464287515
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index measures the performance of U.S.-traded stocks from the software industry and select companies from the interactive home entertainment and interactive media and services sub-industries in the U.S. and Canada. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IGV.png
ipoDate,2001-07-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
