,KBE
symbol,KBE
price,49.55
beta,0
volAvg,1774368
mktCap,0
lastDiv,1.3479999999999999
range,42.57-58.75
changes,0.78
companyName,SPDR S&P Bank ETF
currency,USD
cik,
isin,US78464A7972
cusip,78464A797
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index tracks the performance of publicly traded national money centers and leading regional banks. It may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments, such as repurchase agreements and money market funds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KBE.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
