,IJS
symbol,IJS
price,103.6199
beta,0
volAvg,358976
mktCap,4274320771
lastDiv,1.338
range,82.09-105.31
changes,1.3999
companyName,iShares S&P Small-Cap 600 Value ETF
currency,USD
cik,
isin,US4642878791
cusip,464287879
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the small-capitalization value sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IJS.png
ipoDate,2000-07-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
