,HSU.TO
symbol,HSU.TO
price,14.17
beta,0
volAvg,506041
mktCap,0
lastDiv,0
range,10.74-19.98
changes,0.39
companyName,BetaPro S&P 500 2x Daily Bull ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HSU.TO.png
ipoDate,2008-12-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
